# 24:24 (xy)
0,3,1
0,6,3
0,9,3
0,14,4
0,22,2
1,15,2
1,18,3
1,21,2
2,0,3
2,12,2
2,23,2
3,15,3
3,22,4
4,2,4
4,8,4
4,12,3
4,19,2
4,23,4
5,4,1
5,10,3
5,14,7
5,16,3
5,18,1
6,2,4
6,7,4
7,0,5
7,4,2
7,13,2
7,15,4
7,19,5
8,23,4
9,3,3
9,7,5
9,10,7
9,13,4
9,15,2
10,8,2
10,12,3
10,14,6
10,17,4
10,19,5
10,22,3
11,6,2
11,13,1
12,3,3
12,5,3
12,14,4
12,17,7
12,19,5
12,22,4
13,6,3
13,8,4
13,12,1
13,23,3
14,0,2
14,20,1
15,1,2
15,5,6
15,8,3
15,13,2
15,23,3
16,14,3
16,20,3
16,22,5
17,0,4
17,6,2
17,10,7
17,13,3
17,17,4
17,19,7
17,21,4
18,12,2
18,14,5
18,18,3
19,1,2
19,10,7
19,15,1
19,21,2
20,14,2
20,18,4
20,20,3
20,22,3
21,0,5
21,3,5
21,7,4
21,10,6
21,19,4
23,0,2
23,3,3
23,15,2
23,17,2
23,20,4
23,23,4
