# 25:25 (xy)
0,6,1
0,8,2
0,13,2
0,20,4
0,24,2
1,0,4
1,3,5
1,7,6
1,15,5
1,17,2
1,22,1
3,0,5
3,3,4
3,6,1
4,10,4
4,15,5
4,20,6
4,22,3
6,3,2
6,10,4
6,12,2
6,16,2
6,18,5
6,20,3
7,0,3
7,5,1
7,7,6
7,13,4
7,15,7
7,17,2
7,19,2
7,24,5
8,16,1
8,18,5
8,21,1
9,3,3
9,7,6
9,11,2
9,20,3
9,22,2
10,8,3
10,10,4
10,13,5
10,18,3
11,2,2
11,11,1
11,20,3
11,24,6
12,18,3
12,21,2
13,2,4
13,8,3
13,11,5
13,13,4
14,7,4
14,12,4
14,15,7
14,24,6
15,3,3
15,6,2
15,20,2
15,23,3
16,19,2
16,22,4
16,24,2
17,2,6
17,4,4
17,7,6
17,10,2
17,12,2
18,11,1
18,15,4
18,22,3
19,5,2
19,7,6
19,12,2
19,14,1
20,2,4
20,4,2
20,10,1
20,13,3
20,15,7
20,17,3
20,19,4
20,21,5
20,23,5
21,0,2
22,2,2
22,7,4
22,14,2
22,21,1
23,4,2
23,8,3
23,13,2
23,15,5
23,19,4
23,23,3
24,0,2
24,5,3
24,11,4
24,16,2
