# 25:24 (xy)
0,0,4
0,2,6
0,4,4
0,11,4
0,13,4
0,18,3
0,23,3
2,2,5
2,14,4
2,21,4
3,5,2
3,8,1
3,23,3
4,2,5
4,4,2
5,0,3
5,5,4
5,7,5
5,14,3
6,8,4
6,11,6
6,16,4
7,0,2
8,8,2
8,23,2
9,11,4
9,13,3
9,16,4
9,21,5
10,4,1
10,23,3
11,2,6
11,5,5
11,7,5
11,18,2
13,4,3
13,7,6
13,12,4
13,14,4
13,16,2
14,23,4
15,4,3
16,0,2
16,9,1
16,13,5
16,17,3
17,7,5
17,11,2
17,18,5
17,21,8
17,23,5
18,6,2
18,13,2
19,18,3
20,4,3
20,6,5
20,8,2
20,11,3
21,0,3
21,7,4
21,15,3
21,18,3
21,21,6
22,4,3
22,6,4
23,2,3
23,7,4
23,11,4
23,15,6
23,17,5
23,21,5
23,23,2
24,0,3
24,10,2
24,18,2
24,22,1
