# 25:25 (xy)
0,2,2
0,5,4
0,8,5
0,19,4
0,24,2
1,10,1
1,12,2
1,16,3
1,18,3
2,4,4
2,8,6
2,19,3
3,22,4
3,24,4
4,0,2
4,4,6
4,6,4
4,8,5
4,15,3
4,17,2
6,1,3
6,3,1
6,19,3
6,22,5
6,24,3
7,0,3
7,6,2
7,20,2
8,8,2
8,18,3
9,1,5
9,4,6
9,12,2
9,14,3
9,17,2
10,8,3
10,10,2
10,19,1
11,5,2
11,9,2
11,18,6
11,20,4
12,24,2
13,5,5
13,8,5
13,10,3
13,15,1
14,1,4
14,3,2
14,13,3
14,18,4
15,0,4
15,5,3
15,7,1
16,1,3
16,8,2
16,13,3
16,16,1
16,19,1
16,22,2
17,4,5
17,6,3
17,10,4
17,12,4
17,15,4
17,18,6
17,20,1
18,1,2
18,5,1
18,9,2
19,2,2
19,4,6
19,8,1
19,11,2
19,13,3
20,0,4
21,4,3
21,13,2
21,15,4
21,18,5
21,24,3
22,2,1
22,5,2
22,7,3
22,9,5
22,17,3
22,20,2
22,22,2
24,0,3
24,4,3
24,9,3
24,14,2
24,22,4
24,24,3
