# 25:24 (xy)
0,0,3
0,8,2
0,10,3
0,16,6
0,19,4
0,21,3
1,1,3
1,4,2
1,9,4
1,11,5
1,14,4
1,22,1
2,6,3
2,8,3
2,23,1
3,0,3
3,19,3
4,1,3
4,5,3
4,12,3
4,14,4
4,21,2
5,6,5
5,8,4
5,13,2
5,16,8
5,19,7
5,22,4
6,0,5
6,2,3
6,21,1
7,7,1
7,12,5
7,16,6
8,0,5
8,2,5
8,5,6
9,7,3
9,16,3
9,19,2
10,2,5
10,5,4
10,12,3
10,14,3
10,20,2
10,22,2
11,7,3
11,9,7
11,11,5
11,21,3
12,22,2
13,2,4
13,6,4
13,9,7
13,12,4
13,14,3
13,16,2
14,0,4
14,4,5
14,7,2
14,23,3
15,5,1
16,12,2
16,17,3
16,22,1
17,5,2
17,9,4
18,0,5
18,4,6
18,8,2
18,23,4
20,0,3
20,7,3
20,9,4
20,15,2
20,17,7
20,21,4
22,1,3
22,4,3
22,7,4
22,10,2
22,17,5
22,21,5
22,23,3
23,9,2
23,14,3
23,20,2
24,1,3
24,4,4
24,7,6
24,18,4
24,21,4
