# 24:24 (xy)
0,2,4
0,4,5
0,9,2
0,12,3
0,14,4
0,17,5
0,19,5
0,23,3
1,16,1
3,0,2
3,2,5
3,4,6
3,7,3
3,12,5
3,16,2
3,19,2
3,21,3
4,23,3
5,4,5
5,6,4
5,8,4
5,12,4
5,14,6
5,16,2
5,18,1
5,21,4
6,3,1
6,17,6
6,20,2
7,0,2
8,4,3
8,6,3
8,10,2
8,14,6
8,17,6
8,21,2
9,3,3
9,5,3
9,8,7
9,12,4
9,20,1
9,23,4
10,0,4
10,2,6
10,7,2
10,15,3
10,17,7
10,19,4
10,22,3
11,4,4
11,8,6
11,10,3
11,12,6
12,15,2
13,14,3
13,17,5
13,19,3
14,2,3
14,4,7
14,8,4
14,12,4
14,16,2
14,22,4
15,0,3
15,3,1
15,11,4
15,14,5
15,18,4
15,23,3
16,5,2
16,10,3
17,2,3
17,4,5
17,9,1
17,12,2
18,0,2
18,11,3
18,15,4
18,18,6
18,21,3
18,23,4
19,2,5
19,4,6
19,7,3
19,10,4
20,11,1
20,15,4
20,17,4
20,19,3
20,22,1
21,5,2
21,7,5
21,9,2
22,4,4
22,6,4
22,10,6
22,12,4
22,15,2
22,17,4
22,20,2
23,0,3
23,2,5
23,11,3
23,14,4
23,23,4
