# 24:24 (xy)
0,0,2
0,5,5
0,11,3
0,23,2
1,2,2
1,6,2
1,8,6
1,13,3
3,13,4
3,19,5
3,22,2
4,11,1
5,2,4
5,5,4
5,8,3
5,14,2
5,19,6
5,23,4
6,3,1
6,11,4
6,15,4
6,18,3
7,0,5
7,2,4
7,6,1
8,1,3
8,4,2
8,11,5
9,3,3
9,6,6
9,9,4
9,14,3
10,18,3
11,3,3
11,6,5
11,8,1
11,14,2
11,19,4
11,23,5
12,1,4
12,9,3
12,18,2
13,2,2
13,6,6
13,8,3
13,11,4
13,13,2
13,16,2
13,21,4
13,23,5
14,0,3
14,9,1
14,15,6
14,22,2
15,6,4
15,12,4
15,14,4
15,19,2
15,23,4
16,0,2
16,16,1
16,18,4
16,22,3
17,1,4
17,6,3
17,12,3
18,14,2
18,23,1
19,0,2
19,2,2
19,5,4
19,7,3
19,10,2
19,12,2
20,4,1
20,15,3
20,18,5
20,20,2
21,1,4
21,5,4
21,9,4
21,12,5
21,17,2
22,22,1
23,0,3
23,2,4
23,4,4
23,6,4
23,12,5
23,18,6
23,20,3
