# 25:23 (xy)
0,0,2
0,3,4
0,7,4
0,12,2
0,17,4
0,22,3
1,10,2
1,14,6
1,16,4
2,9,2
2,11,4
3,14,4
4,0,4
4,3,5
4,7,5
4,11,5
4,13,2
5,8,3
5,10,1
5,17,4
5,22,6
6,14,2
7,8,3
7,11,2
8,0,4
8,3,5
8,7,3
8,9,3
8,13,3
8,16,5
8,22,4
9,4,1
9,8,2
10,0,2
10,10,2
10,16,5
10,20,3
11,3,5
11,8,2
12,5,1
12,9,6
12,14,3
12,16,6
12,19,4
13,3,4
13,6,4
13,8,1
13,20,2
14,0,2
14,9,4
14,16,6
14,19,4
15,7,2
15,22,5
16,4,2
16,6,8
16,14,3
16,18,4
16,20,2
17,8,3
17,12,1
18,0,3
18,3,4
18,5,1
18,10,2
18,16,4
18,18,4
18,22,5
19,1,2
19,11,3
19,14,2
21,1,5
21,3,5
21,6,4
21,8,4
22,11,2
22,13,3
22,16,3
22,18,2
23,1,2
24,0,2
24,3,5
24,5,3
24,8,4
24,13,5
24,22,4
